city_ascii,lat,lng,iso3,population
Tokyo,35.685,139.7514,JPN,35676000
New York,40.6943,-73.9249,USA,19164071
Mexico City,19.4424,-99.131,MEX,19028000
Mumbai,19.017,72.857,IND,18978000
Sao Paulo,-23.5587,-46.625,BRA,18845000
Delhi,28.67,77.23,IND,15926000
Shanghai,31.2165,121.4365,CHN,14987000
Kolkata,22.495,88.3247,IND,14787000
Dhaka,23.7231,90.4086,BGD,12797394
Buenos Aires,-34.6025,-58.3975,ARG,12795000
Los Angeles,34.114,-118.4068,USA,12740381
Karachi,24.87,66.99,PAK,12130000
Cairo,30.05,31.25,EGY,11893000
Rio de Janeiro,-22.925,-43.225,BRA,11748000
Osaka,34.75,135.4601,JPN,11294000
Beijing,39.9289,116.3883,CHN,11106000
Manila,14.6042,120.9822,PHL,11100000
Moscow,55.7522,37.6155,RUS,10452000
Istanbul,41.105,29.01,TUR,10061000
Paris,48.8667,2.3333,FRA,9904000
Seoul,37.5663,126.9997,KOR,9796000
Lagos,6.4433,3.3915,NGA,9466000
Jakarta,-6.1744,106.8294,IDN,9125000
Guangzhou,23.145,113.325,CHN,8829000
Chicago,41.8373,-87.6861,USA,8639278
London,51.5,-0.1167,GBR,8567000
Lima,-12.048,-77.0501,PER,8012000
Tehran,35.6719,51.4243,IRN,7873000
Kinshasa,-4.3297,15.315,COD,7843000
Bogota,4.5964,-74.0833,COL,7772000
Shenzhen,22.5524,114.1221,CHN,7581000
Wuhan,30.58,114.27,CHN,7243000
Hong Kong,22.305,114.185,HKG,7206000
Tianjin,39.13,117.2,CHN,7180000
Chennai,13.09,80.28,IND,7163000
Taipei,25.0358,121.5683,TWN,6900273
Bangalore,12.97,77.56,IND,6787000
Bangkok,13.75,100.5166,THA,6704000
Lahore,31.56,74.35,PAK,6577000
Chongqing,29.565,106.595,CHN,6461000
Hyderabad,17.4,78.48,IND,6376000
Miami,25.784,-80.2102,USA,6247425
Santiago,-33.45,-70.667,CHL,5720000
Dallas,32.7938,-96.7659,USA,5634307
Philadelphia,40.0076,-75.134,USA,5591554
Belo Horizonte,-19.915,-43.915,BRA,5575000
Madrid,40.4,-3.6834,ESP,5567000
Houston,29.7871,-95.3936,USA,5424720
Ahmedabad,23.0301,72.58,IND,5375000
Ho Chi Minh City,10.78,106.695,VNM,5314000
Toronto,43.7,-79.42,CAN,5213000
Washington,38.9047,-77.0163,USA,5191844
Singapore,1.293,103.8558,SGP,5183700
Luanda,-8.8383,13.2344,AGO,5172900
Atlanta,33.7627,-84.4231,USA,5080712
Baghdad,33.3386,44.3939,IRQ,5054000
Barcelona,41.3833,2.1834,ESP,4920000
Haora,22.5804,88.3299,IND,4841638
Shenyeng,41.805,123.45,CHN,4787000
Khartoum,15.5881,32.5342,SDN,4754000
Pune,18.53,73.85,IND,4672000
Sydney,-33.92,151.1852,AUS,4630000
Boston,42.3189,-71.0838,USA,4556916
St. Petersburg,59.939,30.316,RUS,4553000
Chittagong,22.33,91.8,BGD,4529000
Dongguan,23.0489,113.7447,CHN,4528000
Riyadh,24.6408,46.7727,SAU,4465000
Hanoi,21.0333,105.85,VNM,4378000
Guadalajara,20.67,-103.33,MEX,4198000
Melbourne,-37.82,144.975,AUS,4170000
Alexandria,31.2,29.95,EGY,4165000
Chengdu,30.67,104.07,CHN,4123000
Rangoon,16.7834,96.1667,MMR,4088000
Phoenix,33.5722,-112.0891,USA,4054083
Xian,34.275,108.895,CHN,4009000
Porto Alegre,-30.05,-51.2,BRA,3917000
Surat,21.2,72.84,IND,3842000
Hechi,23.0965,109.6091,CHN,3830000
Abidjan,5.32,-4.04,CIV,3802000
Brasilia,-15.7833,-47.9161,BRA,3716996
Ankara,39.9272,32.8644,TUR,3716000
Monterrey,25.67,-100.33,MEX,3712000
Yokohama,35.32,139.58,JPN,3697894
Nanjing,32.05,118.78,CHN,3679000
Montreal,45.5,-73.5833,CAN,3678000
Guiyang,26.58,106.72,CHN,3662000
Recife,-8.0756,-34.9156,BRA,3651000
Harbin,45.75,126.65,CHN,3621000
Fortaleza,-3.75,-38.58,BRA,3602319
San Francisco,37.7561,-122.4429,USA,3548847
Seattle,47.6217,-122.3238,USA,3541236
Zhangzhou,24.5204,117.67,CHN,3531147
Detroit,42.3834,-83.1024,USA,3520589
Salvador,-12.97,-38.48,BRA,3484000
Busan,35.0951,129.01,KOR,3480000
Johannesburg,-26.17,28.03,ZAF,3435000
Berlin,52.5218,13.4015,DEU,3406000
Algiers,36.7631,3.0506,DZA,3354000
Rome,41.896,12.4833,ITA,3339000
Pyongyang,39.0194,125.7547,PRK,3300000
Medellin,6.275,-75.575,COL,3297000
Kabul,34.5167,69.1833,AFG,3277000
Athens,37.9833,23.7333,GRC,3242000
Nagoya,35.155,136.915,JPN,3230000
Cape Town,-33.92,18.435,ZAF,3215000
Changchun,43.865,125.34,CHN,3183000
San Diego,32.8312,-117.1225,USA,3181172
Casablanca,33.6,-7.6164,MAR,3181000
Dalian,38.9228,121.6298,CHN,3167000
Kanpur,26.46,80.32,IND,3162000
Kano,12,8.52,NGA,3140000
Tel Aviv-Yafo,32.08,34.77,ISR,3112000
Addis Ababa,9.0333,38.7,ETH,3100000
Curitiba,-25.42,-49.32,BRA,3084000
Zibo,36.8,118.05,CHN,3061000
Jeddah,21.5169,39.2192,SAU,3012000
Nairobi,-1.2833,36.8167,KEN,3010000
Hangzhou,30.25,120.17,CHN,3007000
Benoni,-26.1496,28.3299,ZAF,2986000
Caracas,10.501,-66.917,VEN,2985000
Milan,45.47,9.205,ITA,2945000
Stuttgart,48.78,9.2,DEU,2944700
Kunming,25.07,102.68,CHN,2931000
Dar es Salaam,-6.8,39.2683,TZA,2930000
Jaipur,26.9211,75.81,IND,2917000
Taiyuan,37.875,112.5451,CHN,2913000
Frankfurt,50.1,8.675,DEU,2895000
Minneapolis,44.9635,-93.2679,USA,2866604
Qingdao,36.09,120.33,CHN,2866000
Surabaya,-7.2492,112.7508,IDN,2845000
Lisbon,38.7227,-9.1449,PRT,2812000
Jinan,36.675,116.995,CHN,2798000
Fukuoka,33.595,130.41,JPN,2792000
Campinas,-22.9,-47.1,BRA,2791000
Kaohsiung,22.6333,120.2666,TWN,2769072
Quezon City,14.6504,121.03,PHL,2761720
Katowice,50.2604,19.02,POL,2746000
Tampa,27.9937,-82.4454,USA,2744107
Denver,39.7621,-104.8759,USA,2741534
Aleppo,36.23,37.17,SYR,2738000
Durban,-29.865,30.98,ZAF,2729000
Kiev,50.4334,30.5166,UKR,2709000
Lucknow,26.855,80.915,IND,2695000
El Giza,30.01,31.19,EGY,2681863
Zhengzhou,34.755,113.6651,CHN,2636000
Taichung,24.1521,120.6817,TWN,2629323
Brooklyn,40.6501,-73.9496,USA,2629150
Ibadan,7.38,3.93,NGA,2628000
Faisalabad,31.41,73.11,PAK,2617000
Fuzhou,26.08,119.3,CHN,2606000
Dakar,14.7158,-17.4731,SEN,2604000
Changsha,28.2,112.97,CHN,2604000
Izmir,38.4361,27.1518,TUR,2587000
Xiangtan,27.8504,112.9,CHN,2586948
Lanzhou,36.056,103.792,CHN,2561000
Incheon,37.4761,126.6422,KOR,2550000
Sapporo,43.075,141.34,JPN,2544000
Xiamen,24.45,118.08,CHN,2519000
Guayaquil,-2.22,-79.92,ECU,2514000
George Town,5.4136,100.3294,MYS,2500000
Mashhad,36.27,59.57,IRN,2469000
Damascus,33.5,36.3,SYR,2466000
Daegu,35.8668,128.607,KOR,2460000
Nagpur,21.17,79.09,IND,2454000
Jinxi,40.7503,120.83,CHN,2426000
Shijianzhuang,38.05,114.48,CHN,2417000
Tunis,36.8028,10.1797,TUN,2412500
Vienna,48.2,16.3666,AUT,2400000
Jilin,43.85,126.55,CHN,2396000
Omdurman,15.6167,32.48,SDN,2395159
Bandung,-6.95,107.57,IDN,2394000
Bekasi,-6.2173,106.9723,IDN,2378211
Mannheim,49.5004,8.47,DEU,2362000
Nanchang,28.68,115.88,CHN,2350000
Wenzhou,28.02,120.6501,CHN,2350000
Queens,40.7498,-73.7976,USA,2333054
Vancouver,49.2734,-123.1216,CAN,2313328
Birmingham,52.475,-1.92,GBR,2285000
Cali,3.4,-76.5,COL,2254000
Naples,40.84,14.245,ITA,2250000
Sendai,38.2871,141.0217,JPN,2250000
Manchester,53.5004,-2.248,GBR,2230000
Puebla,19.05,-98.2,MEX,2195000
Tripoli,32.8925,13.18,LBY,2189000
Tashkent,41.3117,69.2949,UZB,2184000
Baltimore,39.3051,-76.6144,USA,2181206
Nanchong,30.7804,106.13,CHN,2174000
Havana,23.132,-82.3642,CUB,2174000
Belem,-1.45,-48.48,BRA,2167000
Nanning,22.82,108.32,CHN,2167000
Patna,25.625,85.13,IND,2158000
Santo Domingo,18.4701,-69.9001,DOM,2154000
Urumqi,43.805,87.575,CHN,2151000
Zaozhuang,34.88,117.57,CHN,2145000
Baku,40.3953,49.8622,AZE,2122300
Accra,5.55,-0.2167,GHA,2121000
Yantai,37.5304,121.4,CHN,2116000
Medan,3.58,98.65,IDN,2115000
Santa Cruz,-17.7539,-63.226,BOL,2102998
Saint Louis,38.6358,-90.2451,USA,2096990
Xuzhou,34.28,117.18,CHN,2091000
Linyi,35.08,118.33,CHN,2082000
Maracaibo,10.73,-71.66,VEN,2072000
Riverside,33.9382,-117.3949,USA,2065627
Kuwait,29.3697,47.9783,KWT,2063000
Ad Damman,26.4282,50.0997,SAU,2054710
Haikou,20.05,110.32,CHN,2046189
Hiroshima,34.3878,132.4429,JPN,2045000
Las Vegas,36.2288,-115.2603,USA,2044731
Baotou,40.6522,109.822,CHN,2036000
Hefei,31.85,117.28,CHN,2035000
Portland,45.5372,-122.65,USA,2027629
Indore,22.7151,75.865,IND,2026000
Goiania,-16.72,-49.3,BRA,2022000
Sanaa,15.3547,44.2066,YEM,2008000
Port-au-Prince,18.541,-72.336,HTI,1998000
San Antonio,29.4722,-98.5247,USA,1976787
Haiphong,20.83,106.6801,VNM,1969000
Suzhou,33.6361,116.9789,CHN,1964000
Nanyang,33.0004,112.53,CHN,1944000
Bucharest,44.4334,26.0999,ROU,1942000
Ningbo,29.88,121.55,CHN,1923000
Douala,4.0604,9.71,CMR,1906000
Tangshan,39.6243,118.1944,CHN,1879000
Tainan,23,120.2,TWN,1876312
Datong,40.08,113.3,CHN,1873000
Asuncion,-25.2964,-57.6415,PRY,1870000
Saidu,34.75,72.35,PAK,1860310
Brisbane,-27.455,153.0351,AUS,1860000
